Жаргонізм,Значення,Категорія,Статус
KMArt Space,"(зараз FIdo Hub) відповідник KMArt Yard (і його замінник у холодну пору року), студентський простір у підвалі 4 корпусу. Був створений у приміщенні USIC й у різні періоди існував як кафе, коворкінг і простір для подій. З 2018 після передачі до FIdo називається FIdo Hub.",Місцина,застарілий
KMArt Yard,"простір на 2 плацу навпроти 5 корпусу. Створений командою KMA Gift Shop, нині належить до родини проєктів Спудейського вісника.",Місцина,актуальний
Ярд,"простір на 2 плацу навпроти 5 корпусу. Створений командою KMA Gift Shop, нині належить до родини проєктів Спудейського вісника.",Місцина,актуальний
PidWall,"підвальний простір КМЦ, де зазвичай проводяться виставки та квартирники.",Місцина,актуальний
Підвол,"підвальний простір КМЦ, де зазвичай проводяться виставки та квартирники.",Місцина,актуальний
USIC,"заснований у 1996 р. простір з комп’ютерами й інтернет-доступом, що існував до 2010-х. Був відроджений як KMArt Space, пізніше – як FIdo Hub.",Місцина,застарілий
Юзік,"заснований у 1996 р. простір з комп’ютерами й інтернет-доступом, що існував до 2010-х. Був відроджений як KMArt Space, пізніше – як FIdo Hub.",Місцина,застарілий
Vagabond,популярна серед могилянців кав’ярня на вул. Григорія Сковороди.,Місцина,актуальний
Сонячний годинник,сонячний годинник у зеленій зоні біля будинку Галшки на 1-у плаці.,АлОб’єкти,актуальний
Червоний диванчик,диванчик у рубці Радіо КВІТ.,АлОб’єкти,актуальний
Акваріум,хол в гуртожитку на Троєщині.,Побут і гуртівні,актуальний
Тераріум,хол в гуртожитку на Троєщині.,Побут і гуртівні,актуальний
Звіринець,хол в гуртожитку на Троєщині.,Побут і гуртівні,актуальний
Десятка,хол в гуртожитку на Троєщині.,Побут і гуртівні,актуальний
Промежина,хол в гуртожитку на Троєщині.,Побут і гуртівні,актуальний
Ворзель,гуртожиток КМА у м. Ворзель під Києвом.,Побут і гуртівні,актуальний
Worseль,гуртожиток КМА у м. Ворзель під Києвом.,Побут і гуртівні,актуальний
Пріродка,гуртожиток КМА у м. Ворзель під Києвом.,Побут і гуртівні,актуальний
Курортік,гуртожиток КМА у м. Ворзель під Києвом.,Побут і гуртівні,актуальний
Гурто,гуртожиток.,Побут і гуртівні,актуальний
Гуртяга,гуртожиток.,Побут і гуртівні,актуальний
Гуртівня,гуртожиток.,Побут і гуртівні,актуальний
Общага,гуртожиток.,Побут і гуртівні,актуальний
Додомцю,у гуртожиток або таки додому.,Побут і гуртівні,актуальний
Додому-додому,у рідне місто чи селище.,Побут і гуртівні,актуальний
Кудрі,гуртожиток КМА на вул. Кудрі (екс-назва вул. Маккейна).,Побут і гуртівні,застарілий
Маккейна,гуртожиток КМА на вул. Маккейна.,Побут і гуртівні,актуальний
Потлак,"спільна вечеря (зокрема й у гуртожитку), коли гості приносять з собою продукти або страви.",Побут і гуртівні,актуальний
Рада Трої,рада гуртожитку КМА на Троєщині (Трої).,Побут і гуртівні,актуальний
Руммейт,(від англ. roommate) сусід/сусідка по кімнаті (у гуртожитку чи зйомній квартирі).,Побут і гуртівні,актуальний
Троя,гуртожиток на Троєщині.,Побут і гуртівні,актуальний
Харьок,гуртожиток КМА на вул. Харківське шосе.,Побут і гуртівні,актуальний
4 студія,створений у 2018 році спудейський театр.,Спудейські проєкти,актуальний
АСП,"Асоціація студентів-політологів. спудейська організація, що займається політологічною просвітою могилянців шляхом проведення освітніх заходів, воркшопів та мастер-класів.",Спудейські проєкти,актуальний
Бадді,"студенти старших курсів, що займаються інформаційною підтримкою абітурієнтів під час вступної кампанії та інтеграцією першокурсників у спудейське життя Могилянки. Саме вони є організаторами таких маштабних культурних подій в Академії як «Фрешфест» та «Вечір Знайомств».",Спудейські проєкти,актуальний
Бадді НаУКМА,"студенти старших курсів, що займаються інформаційною підтримкою абітурієнтів під час вступної кампанії та інтеграцією першокурсників у спудейське життя Могилянки. Саме вони є організаторами таких маштабних культурних подій в Академії як «Фрешфест» та «Вечір Знайомств».",Спудейські проєкти,актуальний
баддіки,ласкаве прізвисько Бадді.,Спудейські проєкти,актуальний
Братчики,"так називають спудеїв, що належать до Спудейського Братства.",Спудейські проєкти,актуальний
Вступ НаУКМА,"спудейська організація, яка допомагає абітурієнтам під час вступної компанії,",Спудейські проєкти,актуальний
Зелена хвиля,"екологічна організація студентів та випускників НаУКМА, заснована ще у 2006 р., робота якої спрямована на сприяння збереженню навколишнього природного середовища шляхом наукової, громадської та освітньої діяльності (ауд. 3-317).",Спудейські проєкти,актуальний
ЕкоКлуб,"екологічна організація студентів та випускників НаУКМА, заснована ще у 2006 р., робота якої спрямована на сприяння збереженню навколишнього природного середовища шляхом наукової, громадської та освітньої діяльності (ауд. 3-317).",Спудейські проєкти,актуальний
КіберСО,"концепція діяльності СО в умовах ризику коронавірусу, що передбачає проведення е-проєктів, е-оказій і е-підгорання через зависання Офісу 365.",Спудейські проєкти,актуальний
КУТ,"спудейська організація, що займається розвитком музикантів НаУКМА, організацією концертів та квартирників. Знаходиться на другому плацу біля 5 корпусу в підвалі КМЦ.",Спудейські проєкти,актуальний
Міжсвіття,"студія старовинного танцю. Організація вивчає танці різних епох, від середньовіччя до початку ХХ ст. Занурюється у таємниці бального етикету, відтворює костюми, манери та атмосферу.(КМЦ, 2 поверх, танцювальна зала).",Спудейські проєкти,актуальний
Могилянський інтелектуальний клуб,"громадське об‘єднання студентів, випускників, викладачів, що залучає молодь до українських інтелектуальних ігор.",Спудейські проєкти,застарілий
Молодь За Мир,"це європейський рух молодих людей, яких об’єднує прагнення збудувати світ, в якому немає воєн і люди поважають одне одного. Рух виник всередині Спільноти Святого Егідія, відомої своєю роботою для бездомних, літніх людей, хворих, боротьбою зі СНІДом в Африці.",Спудейські проєкти,актуальний
Студентське мистецько-інформаційне товариство,творча організація студентів НаУКМА.,Спудейські проєкти,застарілий
СпільнОсвіта,"спудейська ініціативна група, яка проводить курси неформальних освітніх занять для дітей при сільських школах.",Спудейські проєкти,актуальний
Спудейське братство,"одна з найстаріших могилянських студентських організацій (з 1997 р.), яка займається збереженням могилянських й українських традицій, різноманітними соціальними та культурними проєктами.(ауд. 4-107)",Спудейські проєкти,актуальний
Студентське Братство,"перша студентська організація Могилянка, заснована в грудні 1992 р. Увага: не сплутайте з досі наявною організацією – «Спудейським братством.",Спудейські проєкти,актуальний
Суперпол,"центр суспільно-політологічних досліджень, метою якого є розвиток професійних навичок студентів-політологів. знайомство їх з політичними діячами України та науковцями, налагодження контактів з дослідницькими центрами України. Діяв з 1993 року.",Спудейські проєкти,застарілий
Український студент,"студентське об`єднання, зорієнтоване на захист громадських, освітніх, мовних та культурних інтересів могилянської спільноти.",Спудейські проєкти,актуальний
Християни Могилянки,"християнська спільнота КМА, трансформувалася в Lumen.",Спудейські проєкти,застарілий
ЩоДеКоли,"спудейська ініціатива, що виникла в 2020 році. Аналог популярної інтелектуальної програми «ЩоДеКоли». Гра полягає в тому, що ігрова команда із 5-6 осіб повинна відповісти на питання, на обдумування та обговорення якого дають одну хвилину.",Спудейські проєкти,актуальний
Beta KMA,"студентська організація, яка провела декілька акцій у контексті боротьби зі СНІДом.",Спудейські проєкти,застарілий
Enactus NaUKMA,"могилянський осередок Enactus Ukraine, платформа для проєктів соціального підприємництва.",Спудейські проєкти,актуальний
Fido,"організація націлена на студентів-інформатиків, що організовує освітні лекції, хакатони, воркшопи. Займається розробкою рішень автоматизації.(2 плац, підвал поблизу Американки).",Спудейські проєкти,актуальний
Фідо,"організація націлена на студентів-інформатиків, що організовує освітні лекції, хакатони, воркшопи. Займається розробкою рішень автоматизації.(2 плац, підвал поблизу Американки).",Спудейські проєкти,актуальний
FSSST Family,організація спудейок та спудеїв ФСНСТ.,Спудейські проєкти,актуальний
GeekLab,"спудейська організація, яка має на меті створення платформи для комфортного спілкування поціновувачів різноманітних фантастичних світів та історій. Займається організацією тематичних посиденьок, ґік-вікторин тощо.",Спудейські проєкти,актуальний
Generation KMA,об’єднання інноваційного розвитку КМА.,Спудейські проєкти,застарілий
Highers,проєкт Enactus NaUKMA з підбору вакансій для студентства.,Спудейські проєкти,актуальний
International Buddy,"окремий підрозділ Бадді, який допомагає адаптуватися спудеям з інших країн.",Спудейські проєкти,актуальний
KMAmnesty,могилянський осередок міжнародної правозахисної організації Amnesty International.,Спудейські проєкти,актуальний
KMAlumni Headhunt,"студентський проєкт з підбору персоналу, мета якого - об'єднувати талановитих могилянців з гідними роботодавцями. Ініціативу було запущено у партнерстві з Асоціацією випускників НаУКМА.",Спудейські проєкти,актуальний
KMA Legal Hackers,"це правники, програмісти, політологи, дизайнери і науковці, об'єднані глобальним рухом з метою зробити право кращим, доступнішим, справедливішим. Займаються розробкою комп‘ютерних програм, що підвищують ефективність вирішення юридичних питань.",Спудейські проєкти,актуальний
MA StandUp,серія могилянських стендапів і рофляників.,Спудейські проєкти,актуальний
Mohyla Lost & Found,"Telegram-канал, де публікують загублені/знайдені в Могилянці речі.",Спудейські проєкти,актуальний
Mohylianka Dance,студентська танцювальна студія.,Спудейські проєкти,актуальний
O.poetry,"поетичні зустрічі, проєкт від братчиків.",Спудейські проєкти,актуальний
Revitalize NaUKMA✗,урбаністична ініціатива Олександра Анісімова з реконструкції й оживлення могилянських плаців.,Спудейські проєкти,застарілий
Squad21,"об’єднання ілюстраторів і графічних дизайнерів, які виконують замовлення для інших студентських проєктів.",Спудейські проєкти,актуальний
UKMA Student Internet Centre,"створений у 1996, у 2005 оновлений та переобладнаний. Був призначений для самостійної роботи студентів та коворкінгу. Зараз на його місці розташований FIdo Hub (підвал 4 корпусу).",Спудейські проєкти,застарілий
192,"спудейське інтернет-видання, назване на честь 192-ї маршрутки, якою могилянці дістаються зі ст. м. Почайна на Контрактову площу. Існувало з 2008 по початок 2010-х.",ЗМІ,застарілий
Бонет,"(bo.net.ua) могилянський інтернет-форум, існував орієнтовно з 2003 по середину 2010-х рр.",ЗМІ,застарілий
Бонетівець,дописувач Бонету.,ЗМІ,застарілий
Вісники,спудеї з СВ Family/Спудейського вісника.,ЗМІ,актуальний
Зміст,див. Zміст.,ЗМІ,актуальний
Йов,див. YOV.,ЗМІ,застарілий
Майдан Могилянка,часопис Спудейського братства.,ЗМІ,застарілий
Міст,"спудейський часопис від Мистецько-інформаційного студентська товариства, що виходив у першій половині 90-х, один із найперших часописів КМА. Після переформатування МІСТ у СМІТ став називатися “Зміст”.",ЗМІ,застарілий
Могилянський вісник,"студентське видання, що виходило з середини 2000-х по першу половину 2010-х рр. у друкованому й онлайн-форматі. Увага: не сплутайте з іншим могилянським виданням – «Спудейським вісником».",ЗМІ,застарілий
Моя Могилянка,"спудейська організація, що влаштовує зустрічі студентам НаУКМА з успішними випускниками.",ЗМІ,актуальний
Пульс академії,спудейський часопис.,ЗМІ,застарілий
Радіо КВІТ,могилянське спудейське радіо (засноване у 2002 р.). Абревіатура КВІТ розшифровується як:,ЗМІ,актуальний
Radio KVIT,могилянське спудейське радіо (засноване у 2002 р.). Абревіатура КВІТ розшифровується як:,ЗМІ,актуальний
Квітівці,учасники й учасниці Радіо КВІТ.,ЗМІ,актуальний
Радіо СМІТ,перше студентське радіо КМА від Студентського мистецько-інформаційного товариства.,ЗМІ,застарілий
СВ Family,див. Спудейський вісник.,ЗМІ,актуальний
Спудейський вісник,"перший щотижневий часопис КМА, з яким у 2019 р. була поновлена традиція студентської періодики в Могилянці; КМАфіозна проєктна родина (СВ Family), до якої входить власне часопис СВ, Змістовник, Спудейський словесник, Білий простір, KMA Today. Слоган – “Сонечко сходить над бурсою”.",ЗМІ,актуальний
Символ,"спудейський часопис, що виходив на початку 2000-х.",ЗМІ,застарілий
Та Могилянка,спудейське телебачення КМА.(підвал КМЦ),ЗМІ,актуальний
Це є ФГН,"студентське видання ФГН, засноване у 2017 році Денисом Карловським у рамках виступу команди фрешів ФГН на Вечорі Знайомств. Публікує матеріали про життя факультету й інтерв’ю з його викладацтвом, адміністрацією, спудейством.",ЗМІ,актуальний
KMA Today,"щоденне студентське інтернет-видання, підрозділ Спудейського вісника.",ЗМІ,актуальний
Now!KMA,"збірник, агрегатор оперативних могилянських новин, як правило, у форматі репостів.",ЗМІ,актуальний
The Pathos,"інтерактивний спудейський форум, що існував приблизно у 2010-х.",ЗМІ,застарілий
Vivat Академія,"спудейський часопис, що виходив приблизно в 2010-х.",ЗМІ,застарілий
Zміст,"реінкарнація часопису “Міст”, коли Мистецько-інформаційне товариство стало Студентським мистецько-інформаційним товариством.",ЗМІ,застарілий
Zмістовник,періодичне студентське видання із хронологією основних подій за місяць. Підрозділ Спудейського вісника.,ЗМІ,актуальний
Контрольно-ревізійна комісія НаУКМА,"орган, який перевіряє фінансову чистоту Студентської колегії.",Спудейське самоврядування,актуальний
КРК,"орган, який перевіряє фінансову чистоту Студентської колегії.",Спудейське самоврядування,актуальний
Курлик,"орган, який перевіряє фінансову чистоту Студентської колегії.",Спудейське самоврядування,актуальний
Кряк,"орган, який перевіряє фінансову чистоту Студентської колегії.",Спудейське самоврядування,актуальний
Конференція студентів НаУКМА,центральний законодавчий орган студентського самоврядування.,Спудейське самоврядування,актуальний
Органи студентського самоврядування,"студентські структури, які офіційно представляють і реалізують права, побажання й інколи навіть рофляні забаганки спудейства.",Спудейське самоврядування,актуальний
Рада гуртожитку,"створена задля того, щоб до­помогти адміністрації та студентам кра­ще порозумітися щодо проблем, по­в’язаних із проживанням в гуртожитку.",Спудейське самоврядування,актуальний
Староста,координатор/комунікатор потоку.,Спудейське самоврядування,актуальний
Старостат,усі старости НаУКМА.,Спудейське самоврядування,актуальний
Старостат факультету,усі старости факультету.,Спудейське самоврядування,актуальний
Студентська виборча комісія,". Увага: не сплутайте зі Студентським відділом кадрів, що також має абревіатуру “СВК”.",Спудейське самоврядування,актуальний
Студентський гетьманат,"відповідник деканату, назва, яку розглядали для Студентської колегії при відновленні студентського самоврядування у 2014-2015 рр.; данина пошани славетній козацькій крові, роду, духу та вмінню спудейства бунтувати на плаці.",Спудейське самоврядування,застарілий
Студентська колегія,центральний виконавчий орган студентського самоврядування. Складається із шести представників факультетів НаУКМА.,Спудейське самоврядування,актуальний
Студентське самоврядування,система органів студентського самоврядування.,Спудейське самоврядування,актуальний
БайФреш,"захід від фрешів усіх спеціальностей із метою показати, що вони вже долослі, і подякувати своїм Бадді. Відбувається навесні.",Традиційні оказії,актуальний
ByFresh,"захід від фрешів усіх спеціальностей із метою показати, що вони вже долослі, і подякувати своїм Бадді. Відбувається навесні.",Традиційні оказії,актуальний
Бал знайомств,старий концепт і назва Вечора знайомств.,Традиційні оказії,застарілий
Аукціон побачень,"благодійна ініціатива, що полягає у виставленні себе в якості лота, і покупці побачень з іншими лотами. Має два етапи: онлайн (у якому можуть брати участь усі представники Могилянської спільноти), та офлайн (куди потрапляють ті лоти, що під час онлайн аукціону вартували більше певної встановленої суми). Останніми роками організовується FIdo та Радіо КВІТ.",Традиційні оказії,актуальний
Бунт,див. BOONT.,Традиційні оказії,актуальний
Вечір знайомств,"традиційний захід від Бадді, який полягає у виступах фрешів кожного факультету за певною темою, відбувається в кінці осені.",Традиційні оказії,застарілий
ВЗ,"традиційний захід від Бадді, який полягає у виступах фрешів кожного факультету за певною темою, відбувається в кінці осені.",Традиційні оказії,застарілий
ве-зе,"традиційний захід від Бадді, який полягає у виступах фрешів кожного факультету за певною темою, відбувається в кінці осені.",Традиційні оказії,застарілий
День відкритих дверей,"традиційний захід, у рамках якого абітурієнти можуть отримати інформацію про навчання в університеті, студентське життя та відповіді на інші їхні питання.",Традиційні оказії,актуальний
День Академії,"щорічне святкування дня заснування Києво-Могилянської академії, що відбувається в жовтні , протягом якого відбуваються різні дійства як-от традиційна акція миття Сковороди (див. Чистий Сковорода), вистави, КМАркет, подяка президента, квартирники, тощо.",Традиційні оказії,актуальний
День факультету,"святкування дня одного із 6 факультетів, в який спудеї цього факультету готують виступ за вільною тематикою.",Традиційні оказії,актуальний
Квартирник,камерний (як у квартирі) музичний концерт.,Традиційні оказії,актуальний
Конвокація,"усе той самий шкільний останній дзвоник, тільки без віршів першокласників, церемонія вручення дипломів випускникам.",Традиційні оказії,актуальний
Конво,"усе той самий шкільний останній дзвоник, тільки без віршів першокласників, церемонія вручення дипломів випускникам.",Традиційні оказії,актуальний
Колодій,"традиційне святкування в останній тиждень зими, під час якого відбуваються ярмарки, квартирники, фаєр-шоу, спалення баби.",Традиційні оказії,актуальний
Кораблик,"студентська вечірка-прогулянка на катері Дніпром. Колись давно організовувалися Студентською колегією, а зараз – різними командами.",Традиційні оказії,актуальний
Кораблік,"студентська вечірка-прогулянка на катері Дніпром. Колись давно організовувалися Студентською колегією, а зараз – різними командами.",Традиційні оказії,актуальний
Містер Академія,стара назва Могилянського Містера.,Традиційні оказії,застарілий
Могилянська миля,"бігове змагання, довжина дистанції якого дорівнює 1 миля (1609 метрів) та цілями якого є збір коштів для благодійності, а також формування могилянської бігової спільноти, популяризація здорового способу життя.",Традиційні оказії,актуальний
Могилянська Міс,"благодійний конкурс самовираження, талантів і соціальної активності серед спудейок, аналог Могилянського Містера.",Традиційні оказії,актуальний
Могилянський Містер,"благодійний конкурс самовираження, талантів і соціальної активності серед спудеїв, аналог Могилянської Міс.",Традиційні оказії,актуальний
Підмогильник,"квартирник, організований Бадді, що вирізняється від інших відсутністю сидячих місць, суцільним танцполом, можливістю безкоштовно поїсти за відмітку в сторіс.",Традиційні оказії,актуальний
Плацівник,"квартирник, але на плаці.",Традиційні оказії,актуальний
Посвята,"перший офіційний захід у студентському житті, на якій студенти виголошують клятву спудея Могилянки.",Традиційні оказії,актуальний
Приймальна комісія,"робочий орган НаУКМА, що створюється для організації прийому вступників.",Традиційні оказії,актуальний
Фрешміт,"зустрічі Бадді з фрешами окремих спеціальностей для знайомства, що відбуваються перед початком навчального року.",Традиційні оказії,актуальний
Фрешфест,"масштабний фестиваль, що організовують Бадді для фрешів наприкінці серпня, на якому представлені всі студентські ініціативи.",Традиційні оказії,актуальний
Чистий Сковорода,"акція від Спудейського братства, що відбувається традиційно в День Академії, і полягає в тому, що студенти миють пам’ятник Григорію Сковороді, з вірою в те, що це допоможе їм вдало скласти сесію.",Традиційні оказії,актуальний
Mohyla Art Week,"тиждень мистецтва в Академії, протягом якого відбуваються лекції, презентації, покази, тренінги за тематикою, що змінюється щодня і відповідає різним видам мистецтва.",Традиційні оказії,актуальний
Mohyla Green Days,"фестиваль захисту навколишнього середовища в Могилянці, організований ЕкоКлубом НаУКМА ""Зелена Хвиля"" , протягом якого відбуваються лекції, дискусії, квартирники та інші заходи, присвячені збереженню довкілля .",Традиційні оказії,актуальний
50 відтінків твоїх виборів,"неформальний слоган виборів Студентської колегії XVII (2017 р.), створений для їх промо-кампанії Студентською виборчою комісією. Спроба хайпувати над новою частиною “50 відтінків сірого”.","Рофляники, радості й припікання",актуальний
"Блін, перестань писать","фраза-маніфест спудея політології та засновника Спортивного студента КМА Олега Собчука, що виражає незгоду з хаотичним і нав’язливим постмодерним спілкуванням у месенджерах.","Рофляники, радості й припікання",актуальний
Вже не та,"перше програмне судження філософської течії могилянського снобізму й могилоскептицизму, натяк на нібито втрату Могилянкою свого духу, традицій і статусів.","Рофляники, радості й припікання",актуальний
КМАфія,"пояснення того, чому могилянці всюди.","Рофляники, радості й припікання",актуальний
По Збруцькому ідолу,"«пофіг», байдуже, все одно (на культурології).","Рофляники, радості й припікання",застарілий
Понабирали по ЗНО,"друге програмне судження філософської течії могилоскептицизму, де-факто визнання, що спудейське життя у фрешів цікавіше й більш насичене, ніж твоя дипломна.","Рофляники, радості й припікання",актуальний
Рофляник,жарт.,"Рофляники, радості й припікання",актуальний
Сонечко сходить над бурсою,"слоган Спудейського вісника, натяк на вихід нового числа часопису й могилянське тепло, затишок.","Рофляники, радості й припікання",актуальний
Час плинний Академія вічна," – слоган КМА; натяк, що Могилянка подолає коронавірус.","Рофляники, радості й припікання",актуальний
